variable,type,source,description
multi_level_planning_structures_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
data_integration_systems_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
data_integration_systems_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
sectoral_to_national_coordination_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
sectoral_to_national_coordination_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_vertical,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
cross_sectoral_collaboration_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
cross_sectoral_collaboration_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
thematic_working_groups_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
thematic_working_groups_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
joint_research_projects_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
joint_research_projects_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
shared_monitoring_frameworks_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
shared_monitoring_frameworks_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
multi_stakeholder_platforms_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
multi_stakeholder_platforms_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
inter_agency_technical_cooperation_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
inter_agency_technical_cooperation_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
regional_economic_community_coordination_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
regional_economic_community_coordination_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
advocacy_communication_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
advocacy_communication_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
cross_border_initiatives_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
cross_border_initiatives_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
peer_to_peer_learning_mechanisms_within_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
peer_to_peer_learning_mechanisms_across_igo,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_horizontal,numeric,Horizontal_Coordination_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
